company,open_date,listing_date,bse_list,nse_list,bse,nse,issue_amt,issue_price,qib,nii,rii,total,listing_price_am,listing_price_pm,list_gain_pm,mp_val,mp_percentage,52_wk_high,52_wk_high_date,52_wk_low,52_wk_low_date,assets,revenue,pat,pre_pe,post_pe,roe,roce,ronw,net_worth,reserves,borrowing,pat_margin,pre_eps,post_eps,pb_value,ebitda
Diffusion Engineers IPO,2024-09-26,2024-10-04,1,1,544264,DIFFNKG,157.96,168,38.77,76.42,83.84,59.88,193.5,203.17,20.93,271.06,61.16,418.2,11/09/2025,231.85,30/04/2025,275.59,285.56,30.8,15.28,20.41,18.52%,20.63%,18.52%,190.7,163.03,34.44,10.79,10.99,8.23,2.47,
Garuda Construction IPO,2024-10-08,2024-10-15,1,1,544271,GARUDA,264.1,95,1.13,8.93,10.56,5.6,105,106.36,11.96,203.53,114.74,249.3,07/11/2025,87.5,09/05/2025,234.84,11.88,3.5,19.49,21.03,36.14%,46.69%,30.62%,122.51,85.16,0.15,23.63,4.87,4.52,5.97,
Hyundai Motor IPO,2024-10-15,2024-10-22,1,1,544274,HYUNDAI,27858.75,1960,3.4,0.57,0.44,1.93,1934,1819.6,-7.16,2179.5,11.01,2890,22/09/2025,1541.7,07/04/2025,25370.24,17567.98,1489.65,26.28,26.73,,13.69%,12.26%,12148.71,11336.17,758.14,8.5,74.58,73.33,14.93,
Deepak Builders IPO,2024-10-21,2024-10-28,1,1,544276,DBEIL,260.04,203,6.03,81.74,38.95,28.91,200,161.95,-20.22,89.39,-55.87,185.6,29/09/2025,84.31,02/02/2026,641.1,106.34,14.21,12.06,16.63,8.48%,8.97%,9.57%,155.81,138.23,153.17,13.52,16.84,12.2,4.68,
Waaree Energies IPO,2024-10-21,2024-10-28,1,1,544277,WAAREEENER,4321.44,1503,86.51,64.65,11.06,55.98,2500,2338.9,55.62,3096.2,106.04,3865,12/09/2025,1863,07/04/2025,11989.48,3496.41,401.13,30.87,26.76,8.79%,9.45%,8.81%,4471.71,4221.69,261.24,11.47,48.69,56.16,8.84,
Godavari Biorefineries IPO,2024-10-23,2024-10-30,1,1,544279,GODAVARIB,554.75,352,1.77,0.89,1.68,1.61,308,343.2,-2.5,284.3,-19.25,348.7,24/07/2025,145,28/03/2025,1554.62,525.27,-26.11,120.04,-17.25,-11.16%,-2.35%,-11.16%,233.84,432.34,703.75,-4.97,2.93,-20.4,6.31,
Afcons Infrastructure IPO,2024-10-25,2024-11-04,1,1,544280,AFCONS,5430,463,2.19,5.23,0.94,2.2,426,474.2,2.42,332.25,-28.3,498.7,24/03/2025,319,29/01/2026,17184.58,3213.47,91.59,35.08,46.48,10.55%,14.89%,2.5%,3662.25,3342.52,3365.1,2.85,13.2,9.96,4.31,
Sagility India IPO,2024-11-05,2024-11-12,1,1,544282,SAGILITY,2106.4,30,2.04,1.88,3.98,2.2,31.06,29.32,-2.27,47.33,57.83,57.89,30/10/2025,37.6,16/06/2025,10388.01,1247.76,22.29,61.52,61.52,,,29%,7608.16,2704.28,943.91,11.83,0.49,0.49,2,
ACME Solar Holdings IPO,2024-11-06,2024-11-13,1,1,544283,ACMESOLAR,2900,289,2.12,0.95,3.12,2.04,251,253.15,-12.4,224.64,-22.25,324.3,15/09/2025,171.99,17/02/2025,13985.14,340.01,1.39,21.63,3147.37,293%,,7%,1942.12,1837.68,9319.91,47.59,13.36,0.09,7.77,
Swiggy IPO,2024-11-06,2024-11-13,1,1,544285,SWIGGY,11327.43,390,3.01,0.39,1.06,2.42,420,456,16.92,337.65,-13.46,474,19/09/2025,297,13/05/2025,10341.24,3310.11,-611.01,-35.23,-35.72,,,-8.21%,7444.99,-7750.85,256.61,,-11.07,-10.92,11.6,
Niva Bupa Health Insurance IPO,2024-11-07,2024-11-14,1,1,544286,NIVABUPA,2200,74,1.49,0.7,2.77,1.5,78.5,74,0,76.24,3,95.21,19/05/2025,68.54,07/04/2025,6542.06,1124.9,-18.82,153.7,-177.74,,,-92%,2031.77,1282.44,250,,0.48,-0.42,6.14,
Zinka Logistics Solutions IPO,2024-11-13,2024-11-22,1,1,544288,BLACKBUCK,1114.72,273,1.53,0.23,1.6,1.34,279.05,260.2,-4.69,634.9,132.88,748,21/10/2025,373.2,09/04/2025,629.41,98.33,32.38,-22,37.2,9.39%,1.5%,9.39%,344.98,339.07,161.01,,-12.41,7.34,14.6,
NTPC Green Energy IPO,2024-11-19,2024-11-27,1,1,544289,NTPCGREEN,10000,108,2.01,0.84,3.6,1.91,111.5,121.65,12.64,89.01,-17.58,117.64,22/05/2025,84.05,02/02/2026,32408.3,1132.74,175.3,234.97,259.56,7.39%,,2.14%,8189.18,596.08,17057.5,16.2,0.46,0.42,9.89,
Enviro Infra Engineers IPO,2024-11-22,2024-11-29,1,1,544290,EIEL,650.3,148,63.5,152.57,23.86,62.85,220,207.07,39.91,167.01,12.91,306.4,18/07/2025,163.21,27/01/2026,812.87,207.46,30.78,18.32,21.1,51.68%,32.34%,37.83%,323,186.29,305.59,15.17,8.08,7.01,6.89,
Suraksha Diagnostic IPO,2024-11-29,2024-12-06,1,1,544293,SURAKSHA,846.25,441,1.31,1.39,0.88,1.17,438,441,0,285.15,-35.57,352.5,25/06/2025,231,04/03/2025,314.2,61.85,7.67,99.31,74.89,14.09%,21.46%,14.09%,187.05,176.8,7.57,10.57,4.44,5.89,13.1,
One Mobikwik Systems IPO,2024-12-11,2024-12-18,1,1,544305,MOBIKWIK,572,279,50.81,114.38,143.52,69.61,440,528,89.25,212.17,-23.91,367.6,13/02/2025,190.62,27/01/2026,908.1,345.83,-6.62,113.32,-86.75,,,8.66%,158.65,147.21,206.34,,2.46,-3.22,9.81,
Sai Life Sciences IPO,2024-12-11,2024-12-18,1,1,544306,SAILIFE,3042.62,549,12.54,4.99,1.36,7.5,650,764.65,39.28,914.85,66.78,983.35,07/01/2026,636.1,09/04/2025,2476.78,693.35,28.01,126.42,203.82,11.79%,15.96%,8.13%,1044.75,1025.44,764.49,5.65,4.34,2.69,10.18,
Vishal Mega Mart IPO,2024-12-11,2024-12-18,1,1,544307,VMM,8000,78,34.65,14.96,2.44,20.42,104,111.93,43.5,121.91,56.22,157.6,26/08/2025,95.99,28/02/2025,9551.75,5053.42,254.14,76.13,69.19,,68.76%,8.18%,5923.74,1390.27,,5.18,1.02,1.13,6.23,
Inventurus Knowledge IPO,2024-12-12,2024-12-19,1,1,544309,IKS,2497.92,1329,32.84,23.13,14.65,29.46,2095,1885.8,41.9,1640.5,23.45,1929,25/02/2025,1236.8,07/04/2025,2790.52,1294.61,208.58,61.55,54.66,32%,31.56%,32%,1377.11,1360.17,828.63,20.38,21.59,24.31,19.07,
International Gemmological IPO,2024-12-13,2024-12-20,1,1,544311,IGIIL,4225,417,19.83,25.84,11.48,19.89,510,471.15,12.99,324.5,-22.3,485,11/02/2025,282,12/03/2025,775.6,619.49,326.06,50.98,82.9,76.58%,80.96%,76.58%,643.41,,,54.68,,,,
Concord Enviro Systems IPO,2024-12-19,2024-12-27,1,1,544315,CEWATER,500.33,701,7.39,14.4,5.68,7.84,826,827.1,17.99,380.55,-45.71,662.95,13/02/2025,349.65,09/12/2025,640.09,208.02,0.52,30.79,1171.52,13.73%,14.07%,12.92%,319.71,300.59,167.53,8.34,22.77,0.6,3.96,
DAM Capital Advisors IPO,2024-12-19,2024-12-27,1,1,544316,DAMCAPITAL,840.25,283,67.08,98.1,27.22,57.65,393,415.1,46.68,163.19,-42.4,303.5,06/06/2025,163,12/02/2026,214.68,182,70.52,28.37,28.37,54.72%,,44.98%,162.61,148.47,4.93,38.75,9.98,9.98,12.76,
Mamata Machinery IPO,2024-12-19,2024-12-27,1,1,544318,MAMATA,179.35,243,94.92,272.75,139.29,136.48,600,630,159.26,426.45,75.47,541,30/07/2025,311.55,07/04/2025,240.85,29.19,0.22,15.3,633.97,27.76%,31.29%,27.39%,132.82,,4.34,15.27,15.88,0.38,4.5,
Sanathan Textiles IPO,2024-12-19,2024-12-27,1,1,544314,SANATHAN,550,321,32.51,44.26,9.3,26.15,422.3,388.35,20.98,427.3,31.71,560.2,21/07/2025,286.95,03/03/2025,2529.53,787.76,50.07,17.25,13.53,11.09%,11.8%,10.42%,1324.06,,644.93,4.53,18.6,23.73,1.81,
Transrail Lighting IPO,2024-12-19,2024-12-27,1,1,544317,TRANSRAILL,838.91,432,79.49,78.1,23.08,58.2,590,553.55,28.14,555.05,28.29,855.8,13/08/2025,394.55,07/04/2025,4836.17,929.7,51.74,23.15,28.02,24.41%,24.33%,21.68%,1140.65,,603.43,5.65,18.66,15.42,4.7,
Carraro India IPO,2024-12-20,2024-12-30,1,1,544320,CARRARO,1250,704,1.56,0.59,0.72,1.12,651,636.2,-9.63,568.8,-19.68,614.5,12/02/2026,253.15,09/04/2025,1093.41,922.74,49.73,63.97,40.24,17.69%,19.35%,16.92%,419.44,,195.78,3.5,11,17.5,,
Senores Pharmaceuticals IPO,2024-12-20,2024-12-30,1,1,544319,SENORES,582.11,391,40.12,98.1,94.87,54.02,593.7,557.8,42.66,783.55,100.83,876.5,07/01/2026,440.3,07/04/2025,678.08,183.35,23.94,39.77,28.21,23.6%,11.73%,23.6%,319.06,263.36,242.03,15.25,9.83,13.86,5.84,
Ventive Hospitality IPO,2024-12-20,2024-12-30,1,1,544321,VENTIVE,1600,643,4.43,14.54,6.19,6.12,716,704.35,9.54,748.45,16.1,840,13/05/2025,523.4,03/03/2025,,875.9,-137.83,-201.01,-54.48,,,-1.82%,,,,35,-3.2,-11.8,3.66,
Unimech Aerospace IPO,2024-12-23,2024-12-31,1,1,544322,UNIMECH,500,785,133.73,275.23,57.86,128.02,1460,1376.25,75.32,937,19.4,1397,17/06/2025,807.05,27/01/2026,509.27,127.58,38.68,64.37,51.61,53.53%,54.36%,53.53%,390.1,113.71,74.71,27.85,12.19,15.21,31.77,
Standard Glass Lining IPO,2025-01-06,2025-01-13,1,1,544333,SGLTL,410.05,140,131.6,273.52,65.72,129.83,176,163.35,16.68,135.98,-4.82,213.8,16/01/2025,124,04/03/2025,756.52,312.1,36.27,43.04,38.5,20.74%,25.49%,20.74%,447.8,261.58,173.8,10.92,3.25,3.64,5.7,
Quadrant Future Tek IPO,2025-01-07,2025-01-14,1,1,544336,QUADFUTURE,290,290,56.72,265.68,256.63,108.05,370,444,53.1,293.6,1.38,618.85,13/02/2025,248.55,18/12/2025,149.66,65.14,-12.11,59.13,-47.91,33.41%,26.12%,33.41%,34.18,4.18,98.01,9.68,4.9,-6.05,19.73,
Laxmi Dental IPO,2025-01-13,2025-01-20,1,1,544339,LAXMIDENTL,698.06,428,44.6,147.44,75.35,63.1,542,550.55,28.63,203.47,-52.61,509.95,21/07/2025,180.3,30/01/2026,158.22,117.9,22.74,87.77,51.73,78.78%,19.97%,78.78%,67.09,,40.91,13.03,4.88,8.27,49.59,
Stallion India Fluorochemicals IPO,2025-01-16,2025-01-23,1,1,544342,STALLION,199.45,90,69.58,424.11,94.51,131.49,120,126,40,173.85,92.67,359.15,17/10/2025,50.85,03/03/2025,235.69,141.53,16.57,37.41,21.55,12.54%,13.96%,12.54%,134.53,,81.05,6.26,2.41,4.18,4.69,
Denta Water IPO,2025-01-22,2025-01-29,1,1,544345,DENTA,220.5,294,94.71,505.15,89.36,154.4,325,341.25,16.07,303.4,4.32,479.6,07/10/2025,248.4,02/02/2026,220.35,98.51,24.2,9.45,16.22,36.36%,76.99%,36.36%,188.46,169.26,0.71,25.03,31.11,18.13,5.01,
Dr.Agarwal's Health Care IPO,2025-01-29,2025-02-04,1,1,544350,AGARWALEYE,3027.26,402,2.48,0.37,0.39,1.39,402,401.65,-0.09,459.25,14.05,568,16/10/2025,327,30/05/2025,3393.41,837.94,39.56,130.44,160.48,9.33%,14.61%,621%,1502.67,1509.11,373.68,6.9,3.08,2.51,7.96,
Ajax Engineering IPO,2025-02-10,2025-02-17,1,1,544356,AJAXENGG,1268.93,629,6.46,6.41,1.89,4.84,576,595.4,-5.34,498.8,-21.02,756.2,14/05/2025,473.25,23/01/2026,1348.76,794.16,101.02,31.96,35.62,24.53%,32.82%,19.39%,995.84,984.4,,12.65,19.68,17.66,7.84,
Hexaware Technologies IPO,2025-02-12,2025-02-19,1,1,544362,HEXT,8750,708,4.42,0.21,0.1,2.25,745.5,762.55,7.7,542.95,-23.17,900,09/07/2025,540,12/02/2026,8594.2,8871.3,853.3,,,,,23.6%,4876,4816.7,,9.6,,,10.15,
Quality Power Electrical IPO,2025-02-14,2025-02-24,1,1,544367,QPOWER,858.7,425,1.01,0.77,1.72,1.05,430,387.9,-8.73,800.6,88.32,1082,30/09/2025,267.8,07/04/2025,399.64,182.72,50.08,55.28,32.86,29.15%,19.2%,29.15%,238.63,150.43,25.55,16.74,7.69,12.93,16.11,
Ather Energy IPO,2025-04-28,2025-05-06,1,1,544397,ATHER,2980.76,321,1.3,0.68,1.76,1.26,328,302.3,-5.83,725.75,125.89,790,21/10/2025,288.15,07/05/2025,2172,1617.4,-577.9,,,,,-194%,108,104.1,521.6,,-47,,,
Borana Weaves IPO,2025-05-20,2025-05-27,1,1,544404,BORANA,144.89,216,35.27,237.23,192.74,81.31,243,255.15,18.13,377.9,74.95,404.9,02/02/2026,211,04/09/2025,149.67,215.71,29.31,18.26,14.73,49.45%,27.42%,49.77%,76.55,56.87,54.03,11.85,11.83,14.66,9.09,46.03
Belrise Industries IPO,2025-05-21,2025-05-28,1,1,544405,BELRISE,2150,90,0.98,40.78,4.4,8.15,100,97.41,8.23,188.27,109.28,193.74,11/02/2026,89.15,02/06/2025,6587.69,6064.76,245.47,16.61,24.47,,14.83%,13.33%,2577.55,2252.24,2599.8,4.36,5.42,3.68,2.5,
Aegis Vopak Terminals IPO,2025-05-26,2025-06-02,1,1,544407,AEGISVOPAK,2800,235,1.97,0.64,0.78,1.66,220,242,2.98,213.01,-9.19,302,18/07/2025,198,21/01/2026,5855.6,476.15,85.89,268.51,227.36,8.68%,8.39%,7.51%,2037.61,,2485.75,15.18,0.88,1.03,17.71,
Schloss Bangalore IPO,2025-05-26,2025-06-02,1,1,544408,THELEELA,3500,435,3.74,1.06,0.83,3.05,406,435.55,0.13,447.3,2.83,474.4,23/07/2025,382.5,19/06/2025,8266.16,1406.56,47.66,160.63,213.09,,,1.32%,3604.99,3280.43,3908.75,,2.71,2.04,2.92,
Prostarm Info Systems IPO,2025-05-27,2025-06-03,1,1,544410,PROSTARM,168,105,41.8,222.75,38.12,67.65,120,126,20,174.42,66.19,253.49,30/07/2025,108,13/06/2025,230.04,270.27,22.11,19.75,20.97,31.41%,32.41%,32.09%,107.24,64.37,60.37,8.85,5.32,5.01,5.34,35.89
Scoda Tubes IPO,2025-05-28,2025-06-04,1,1,544411,SCODATUBES,220,140,30.23,122.2,20.23,40.52,140,147,5,141.09,0.75,230.85,14/07/2025,113.53,02/02/2026,428.49,363.48,24.91,33.81,25.25,28.77%,15.92%,28.77%,143.55,99.35,202.16,4.58,4.14,5.54,8.76,60.63
Oswal Pumps IPO,2025-06-13,2025-06-20,1,1,544418,OSWALPUMPS,1387.34,614,35.89,38.19,3.59,24.93,634,625.35,1.85,350.85,-42.83,888.4,21/08/2025,330.8,13/02/2026,1096.01,1067.34,216.71,62.54,24.22,,81.85%,88.73%,378.8,387.96,346.3,12.83,9.82,25.35,38.14,321.01
Arisinfra Solutions IPO,2025-06-18,2025-06-25,1,1,544419,ARISINFRA,499.6,222,1.2,3.07,5.98,1.96,205,174.38,-21.45,84.18,-53.96,208.5,25/06/2025,83.1,06/02/2026,586.56,557.76,6.53,-41.89,,,,-13.14%,152.09,141.1,322.82,,-5.3,,8.61,39.88
Ellenbarrie Industrial Gases IPO,2025-06-24,2025-07-01,1,1,544421,ELLEN,852.53,400,25.92,15.54,2.14,16.04,486,534.6,33.65,249.7,-37.58,637.7,14/07/2025,245.1,02/02/2026,845.97,348.43,83.29,62.88,67.69,16.88%,13.71%,24.97%,333.62,467.17,245.3,23.9,6.36,5.91,20.93,109.74
Globe Civil Projects IPO,2025-06-24,2025-07-01,1,1,544424,GLOBECIVIL,119,71,40.66,142.1,52.61,60.06,90,94.46,33.04,53.39,-24.77,95,23/07/2025,47,20/01/2026,374.6,256.74,17.79,19.83,17.88,21.95%,23.07%,19.8%,99.83,56.87,137.97,4.59,3.58,3.97,3.92,39.3
Kalpataru IPO,2025-06-24,2025-07-01,1,1,544423,KALPATARU,1590,414,1.93,1.39,1.35,1.78,414,432.95,4.58,350.5,-15.25,457.4,09/07/2025,319.1,02/02/2026,15562.35,1699.49,5.51,-59.52,1160.05,,,-1015%,1579.54,,11056.4,,-6.96,0.36,5.62,101.67
HDB Financial IPO,2025-06-25,2025-07-02,1,1,544429,HDBFS,12500,740,24.05,10.24,1.43,13.07,835,840.95,13.64,715,-3.39,891.9,03/07/2025,687.3,27/01/2026,########,16300.28,2175.92,27,28.15,14.72%,,,14936.5,15023.97,87397.77,,27.41,26.29,3.72,9512.37
Sambhv Steel Tubes IPO,2025-06-25,2025-07-02,1,1,544430,SAMBHV,540,82,27.26,33.62,8.35,21.49,110,97.59,19.01,98.5,20.12,149.4,22/07/2025,81.42,27/01/2026,1411.82,1018.81,40.69,23.97,44.54,25.42%,17.66%,25.42%,478.46,,619.15,6.41,3.42,1.84,4.51,106.37
Indogulf Cropsciences IPO,2025-06-26,2025-07-03,1,1,544432,IGCL,200,111,1.95,50.72,15.33,13.5,111,110.35,-0.59,70.74,-36.07,122,22/07/2025,64.5,27/01/2026,597.81,466.31,21.68,19.18,24.27,12.2%,11.93%,12.19%,265.43,216.64,206.3,5.11,5.79,4.57,1.13,44.78
Crizac IPO,2025-07-02,2025-07-09,1,1,544439,CRIZAC,860,245,57.16,79.49,10.54,44.19,281.05,307.63,25.56,240.35,-1.94,387.95,08/09/2025,217.3,22/01/2026,879.62,884.78,152.93,28.03,28.03,30.24%,40.03%,30.24%,505.71,,0.08,17.28,8.74,8.74,8.48,212.82
Travel Food Services IPO,2025-07-07,2025-07-14,1,1,544443,TRAVELFOOD,2000,1100,3.83,1.62,0.69,2.4,1125,1074.8,-2.29,1214.7,10.47,1445,27/11/2025,1008.5,04/08/2025,1902.73,1762.71,379.66,38.15,38.15,35.47%,51.4%,34.64%,1048.45,1040.24,,21.54,28.83,28.83,13.82,676.35
Smartworks Coworking Spaces IPO,2025-07-10,2025-07-17,1,1,544447,SMARTWORKS,582.56,407,10.59,23.63,3.59,10.03,435,445.05,9.35,462.35,13.21,619,04/11/2025,392.7,28/07/2025,4650.85,1409.67,-63.18,,,,42.3%,-58.76%,107.51,4.69,397.77,-4.6,-6.12,-5.54,38.58,857.26
Anthem Biosciences IPO,2025-07-14,2025-07-21,1,1,544449,ANTHEM,3395,570,77.87,43.67,5.74,47.37,723.05,730.35,28.13,703.4,23.32,873.5,18/09/2025,579.15,02/02/2026,2807.58,1930.29,451.26,70.62,70.62,20.82%,26.88%,20.82%,2409.86,2298.05,108.95,23.38,8.07,8.07,13.23,683.78
GNG Electronics IPO,2025-07-23,2025-07-30,1,1,544455,EBGNG,460.43,237,110.35,237.44,48.2,107.66,355,333.39,40.67,329.35,39.14,401.7,18/09/2025,239,27/01/2026,719.46,1420.37,69.03,33.35,39.14,30.4%,17.31%,30.4%,226.46,176.61,446.92,4.89,7.11,6.05,10.17,126.14
Indiqube Spaces IPO,2025-07-23,2025-07-30,1,1,544454,INDIQUBE,700,237,6.68,8.62,13.41,7.63,216,217.97,-8.03,182.41,-23.19,243.8,22/09/2025,163.51,02/02/2026,4685.12,1102.93,-139.62,,,-2.19%,34.21%,,-3.11,-23.3,343.96,-12.66,-7.65,,,660.19
Brigade Hotel Ventures IPO,2025-07-24,2025-07-31,1,1,544457,BRIGHOTEL,759.6,90,2.9,10.1,6.59,4.26,81.1,85.32,-5.2,62.29,-31.16,91.77,19/08/2025,58.02,23/01/2026,947.57,470.68,23.66,112.38,144.48,,13.62%,30.11%,78.58,,617.32,5.03,0.8,0.62,32.26,166.87
Shanti Gold International IPO,2025-07-25,2025-08-01,1,1,544459,SHANTIGOLD,360.11,199,47.35,151.49,30.42,57.04,227.55,229.38,15.27,217.93,9.7,274.1,21/08/2025,184.1,18/12/2025,419.83,1112.47,55.84,19.24,25.69,,25.7%,44.85%,152.37,,233,5.05,10.34,7.75,7.05,97.71
Aditya Infotech IPO,2025-07-29,2025-08-05,1,1,544466,CPPLUS,1300,675,56.7,75.52,52.56,58.82,1015,1082.65,60.39,1546.2,128.79,1745.1,19/11/2025,1015,05/08/2025,3174.54,3122.93,351.37,21.09,22.52,34.53%,33.27%,34.53%,1017.66,994.49,412.84,11.25,32,29.98,7.06,258.39
Laxmi India Finance IPO,2025-07-29,2025-08-05,1,1,544465,LAXMIINDIA,254.26,158,1.47,1.82,2.17,1.76,137.52,134.11,-15.12,108.64,-31.31,180.9,18/09/2025,85.87,27/01/2026,1412.52,248.04,36.01,18.35,22.94,,,13.95%,257.47,236.99,1137.06,14.48,8.61,6.89,2.57,163.88
NSDL IPO,2025-07-30,2025-08-06,1,0,544467,NSDL,4010.95,800,42.15,34.75,7.43,28.84,880,936,17,971.7,21.46,1425,11/08/2025,880,06/08/2025,2984.84,1535.19,343.12,46.63,,17.11%,22.7%,17.11%,2005.34,232.31,,22.35,17.16,,7.98,492.94
M&B Engineering IPO,2025-07-30,2025-08-06,1,1,544470,MBEL,650,385,15.98,40.18,33.54,21.3,385,408.65,6.14,333.15,-13.52,535.9,10/11/2025,291,02/02/2026,849.21,996.89,77.05,24.98,28.55,25.13%,24.8%,25.14%,306.53,256.53,186.13,7.73,15.41,13.48,6.28,126.38
Sri Lotus Developers IPO,2025-07-30,2025-08-06,1,1,544469,LOTUSDEV,792,150,70.76,61.53,21.13,51.87,178,195.67,30.45,151.57,1.17,218.49,11/08/2025,137.6,21/01/2026,1218.6,569.28,227.89,28.69,32.17,24.39%,27.22%,24.39%,932.44,888.93,122.13,41.46,5.23,4.66,7.01,288.97
Highway Infrastructure IPO,2025-08-05,2025-08-12,1,1,544477,HILINFRA,130,70,170.38,471.09,159.72,256.33,115,120.75,72.5,56.87,-18.7,131.4,14/08/2025,49.49,30/01/2026,231.56,504.48,22.4,18.06,22.41,19.03%,16.56%,19.03%,117.72,83.9,71.82,4.44,3.88,3.12,3.44,31.32
All Time Plastics IPO,2025-08-07,2025-08-14,1,1,544479,ALLTIME,400.6,275,4.76,13.9,5.23,6.28,311.3,283.3,3.02,263.71,-4.6,334.9,25/08/2025,218,02/02/2026,562.32,559.24,47.29,32.17,38.09,19.01%,16.99%,19.01%,249.13,247.73,218.51,8.46,8.55,7.22,7.15,101.34
JSW Cement IPO,2025-08-07,2025-08-14,1,1,544480,JSWCEMENT,3600,147,7.3,11.56,1.84,6.03,153.5,146.07,-0.63,119.65,-18.61,162.15,04/09/2025,106.65,04/12/2025,12003.94,5914.67,-163.77,-112.61,-122.38,-690%,7.05%,-4.85%,2352.55,1287.31,6166.55,-2.77,-1.31,-1.2,6.16,815.32
BlueStone Jewellery IPO,2025-08-11,2025-08-19,1,1,544484,BLUESTONE,1540.65,517,2.3,0.56,1.32,1.94,510,546,5.61,450.7,-12.81,793,09/10/2025,411.85,02/02/2026,3532.28,1830.04,-221.84,,,-34.53%,-3.67%,-24.45%,,877.12,728.62,-12.53,,,2.01,73.16
Regaal Resources IPO,2025-08-12,2025-08-20,1,1,544485,REGAAL,306,102,41.34,355.25,55.61,93.42,141,131.58,29,60.23,-40.79,145.7,20/08/2025,57.27,02/02/2026,860.27,917.58,47.67,17.58,21.98,20.25%,14.17%,20.25%,235.41,202.44,507.05,5.19,5.8,4.64,6.18,112.79
Gem Aromatics IPO,2025-08-19,2025-08-26,1,1,544491,GEMAROMA,451.25,325,22.14,45.9,10.29,21.55,333.1,319.05,-1.83,197.67,-39.05,349.6,26/08/2025,133,09/12/2025,534.52,505.64,53.38,28.52,31.8,18.8%,16.02%,18.8%,283.98,278.26,222.37,10.56,11.39,10.22,5.36,88.45
Patel Retail IPO,2025-08-19,2025-08-26,1,1,544487,PATELRMART,242.66,255,109.09,107.9,41.68,78.04,300,287.7,12.82,200.18,-20.82,305,26/08/2025,169.91,20/01/2026,382.86,825.99,25.28,25.1,33.69,19.02%,14.43%,19.02%,134.57,,180.54,3.08,10.16,7.57,4.72,62.43
Shreeji Shipping Global IPO,2025-08-19,2025-08-26,1,1,544490,SHREEJISPG,410.71,252,44.82,72.62,21.57,40.85,270,255.1,1.23,400,58.63,408.85,13/02/2026,222,09/10/2025,758.58,610.45,141.24,26.16,29.07,42.91%,28.09%,42.91%,343.17,196.55,256.47,23.24,9.63,8.67,10.76,200.68
Vikram Solar IPO,2025-08-19,2025-08-26,1,1,544488,VIKRAMSOLR,2079.37,332,58.56,52.8,7.77,39.73,338,356.4,7.35,234.8,-29.2,407.95,10/09/2025,188.25,27/01/2026,2832.15,3459.53,139.83,75.16,85.88,16.57%,24.49%,11.26%,1241.99,932.6,230.67,4.08,4.42,3.87,8.46,492.01
Mangal Electrical IPO,2025-08-20,2025-08-28,1,1,544492,MEIL,400,561,5.13,19.7,4.99,7.27,556,535.35,-4.57,271.1,-51.61,573.7,04/09/2025,244.15,02/02/2026,366.46,551.39,47.31,24.31,32.77,29%,25.38%,34.14%,162.16,,149.12,8.61,23.08,17.12,7.09,81.84
Anlon Healthcare IPO,2025-08-26,2025-09-03,1,1,544497,AHCL,121.03,91,1.05,10.5,45.82,6.95,92,91.73,0.8,122.44,34.89,172.75,28/11/2025,90.78,03/09/2025,181.3,120.46,20.52,17.67,23.57,40.45%,21.93%,25.51%,80.42,40.57,58.35,17.06,5.15,3.86,4.51,32.38
Vikran Engineering IPO,2025-08-26,2025-09-03,1,1,544496,VIKRAN,772,97,8.67,61.68,11.27,17.53,99,95.71,-1.33,86.85,-10.42,118.4,20/11/2025,84.2,18/12/2025,1354.68,922.36,77.82,22.88,32.15,16.63%,23.34%,16.63%,467.87,449.52,272.94,8.44,4.24,3.02,3.81,160.24
Amanta Healthcare IPO,2025-09-01,2025-09-09,1,1,544502,AMANTA,126,126,14.8,209.13,53.59,57.53,135,141.75,12.5,108.56,-13.89,154.4,23/09/2025,97.75,09/12/2025,381.76,276.09,10.5,34.59,46.59,12.42%,13.72%,10.89%,96.39,67.56,195,3.86,3.64,2.7,3.77,61.05
Dev Accelerator IPO,2025-09-10,2025-09-17,1,1,544513,DEVX,143.35,61,9.05,87.49,160.88,35.82,61,64.05,5,39.77,-34.74,64.05,17/09/2025,34,21/01/2026,540.38,178.89,1.74,233.25,315.45,,25.95%,3.24%,54.79,,130.67,1,0.26,0.19,7.94,80.46
Shringar House of Mangalsutra IPO,2025-09-10,2025-09-17,1,1,544512,SHRINGARMS,400.95,165,41.17,82.36,26.66,42.24,188.5,184.88,12.05,240.04,45.61,250.7,16/01/2026,177.51,30/09/2025,375.75,1430.12,61.11,19.47,26.04,,32.43%,36.2%,200.85,123.72,123.11,4.27,8.47,6.34,5.93,92.61
Urban Company IPO,2025-09-10,2025-09-17,1,1,544515,URBANCO,1900.24,103,59.44,77.52,40.1,60.14,162.25,166.83,61.97,121.08,17.62,201.18,22/09/2025,116.58,27/01/2026,2200.64,1260.68,239.77,59.71,61.68,,,13.35%,1781.28,2646.12,,,1.72,1.67,8.27,
Euro Pratik Sales IPO,2025-09-16,2025-09-23,1,1,544519,EUROPRATIK,451.31,247,1.13,1.95,1.23,1.29,272.1,248.38,0.56,231.99,-5.55,390,17/11/2025,205.1,30/01/2026,273.84,291.52,76.44,33.02,33.02,39.18%,44.58%,32.6%,234.49,223.88,2.68,26.08,7.48,7.48,10.77,110.1
