company,open_date,listing_date,bse_list,nse_list,bse,nse,issue_amt,issue_price,qib,nii,rii,total,listing_price_am,listing_price_pm,list_gain_pm,mp_val,mp_percentage,52_wk_high,52_wk_high_date,52_wk_low,52_wk_low_date,assets,revenue,pat,pre_pe,post_pe,roe,roce,ronw,net_worth,reserves,borrowing,pat_margin,pre_eps,post_eps,pb_value,ebitda
Shree Tirupati Balajee Agro IPO,2024-09-05,2024-09-12,1,1,544249,STBAL,169.65,83,60.56,209.02,71.62,86.7,90,94.5,13.86,34.12,-58.65,65.64,11/02/2025,31.91,03/02/2026,516.94,552.82,36.07,15.37,18.77,20.84%,16.29%,20.84%,173.07,106.24,243.69,6.53,5.4,4.42,3.01,
Bajaj Housing Finance IPO,2024-09-09,2024-09-16,1,1,544252,BAJAJHFL,6560,70,89.67,42.85,7.54,49.63,150,165,135.71,89.29,27.56,136.96,24/04/2025,87.11,02/02/2026,88538.83,2208.73,482.61,31.62,30.2,,,3.6%,14719.91,4252.83,73347.06,,2.21,2.32,3.72,
Kross IPO,2024-09-09,2024-09-16,1,1,544253,KROSS,500,240,10.44,23.36,11.48,12.74,240,259.81,8.25,216.34,-9.83,237.6,18/09/2025,150.06,07/04/2025,352,621.46,44.88,28.93,34.5,30.57%,28.15%,30.57%,146.81,119.76,117.9,7.22,8.3,6.96,8.84,
Tolins Tyres IPO,2024-09-09,2024-09-16,1,1,544254,TOLINS,230,226,11.43,28.72,22.31,17.83,228,239.4,5.93,128.83,-42.92,202,12/09/2025,107.72,04/03/2025,221.6,228.69,26.01,26.64,34.33,25.87%,36.08%,25.87%,100.53,85.07,78.77,11.45,8.48,6.58,6.14,
P N Gadgil Jewellers IPO,2024-09-10,2024-09-17,1,1,544256,PNGJL,1100,480,58.18,58.89,17.73,44.13,830,793.3,65.27,566.95,18.09,701.4,21/10/2025,473.8,07/04/2025,1464.98,6119.1,154.34,36.7,42.2,28.88%,27.31%,28.88%,534.38,,396.5,2.53,13.08,11.37,10.6,
Western Carriers IPO,2024-09-13,2024-09-24,1,1,544258,WCIL,492.88,172,12.01,46.53,27.21,22.51,171,159.44,-7.3,120.46,-30.15,147.29,22/09/2025,65.1,07/04/2025,754.01,1691.41,80.35,16.85,21.83,22.41%,29.23%,20.17%,398.36,359.01,266,4.77,10.21,7.88,3.4,
Arkade Developers IPO,2024-09-16,2024-09-24,1,1,544261,ARKADE,410,128,69.48,174.23,58.03,80.78,175,165.86,29.58,121.27,-5.04,213.69,18/07/2025,107.96,29/01/2026,575.01,635.71,122.81,16.01,19.35,46.9%,47.34%,46.9%,323.4,171.4,69.41,19.35,7.99,6.61,6.02,
Northern Arc Capital IPO,2024-09-16,2024-09-24,1,1,544260,NORTHARC,777,263,97.41,149.32,32.85,80.97,350,323.4,22.97,252.05,-4.22,290,06/10/2025,141.47,07/04/2025,11707.66,1906.03,317.69,11.78,13.36,,,13.32%,2314.35,2123.37,9047.76,,22.32,19.69,1.49,
Manba Finance IPO,2024-09-23,2024-09-30,1,1,544262,MANBA,150.84,120,58,511.91,139.75,154.7,150,157.45,31.21,124.09,3.79,159.5,25/06/2025,119,03/03/2025,973.75,191.63,31.42,14.39,19.19,21.36%,19.39%,15.66%,200.61,162.46,752.27,,8.34,6.25,2.25,
KRN Heat Exchanger IPO,2024-09-25,2024-10-03,1,1,544263,KRN,341.95,220,102.4,428.12,101.07,151.95,480,478.79,117.63,715.2,225.7,1010,05/03/2025,589.8,27/01/2026,258.36,313.54,39.07,24.78,33.52,40.86%,31.21%,29.68%,131.65,,59.69,12.67,8.88,6.56,,
