Company,Opening_Date,Listing_Date,Listing_At,BSE_Scrip_Code,NSE_Symbol,Issue_Amount_(Rs.cr.),Issue_Price_(Rs.),QIB_(x),NII_(x),Retail_(x),Total_(x),Open_Price_on_Listing_(Rs.),Close_Price_on_Listing_(Rs.),%_Gain_/_Loss_(Issue_price_v/s_Close_price_on_Listing),Current_Price_<br>at_BSE_(Rs.),Current_Price_<br>at_NSE_(Rs.),Gain_/_Loss_(%),Market_Price_(Rs.),52_Week_High,52_Week_Low,Market_Price_(Value),Market_Price_(%),52_Week_High_(Value),52_Week_High_(Date),52_Week_Low_(Value),52_Week_Low_(Date),Assets_(Rs.cr.),Revenue_(Rs.cr.),Profit_After_Tax_(Rs.cr.),P/E_(x)_Pre-IPO,P/E_(x)_Post-IPO,ROE,ROCE,RoNW,Net_Worth_(Rs.cr.),Reserves_and_Surplus_(Rs.cr.),Total_Borrowing_(Rs.cr.),PAT_Margin_%,EPS_(Rs.)_Pre-IPO,EPS_(Rs.)_Post-IPO,Price_to_Book_Value,Ebitda_(Rs.cr.)
Denta Water IPO,2025-01-22,2025-01-29,"BSE, NSE",544345,DENTA,220.5,294,94.71,505.15,89.36,154.4,325,341.25,16.07,275.8,275.3,-6.19,303.40 (4.32%),"479.60 (Oct 07, 2025)","248.40 (Feb 02, 2026)",303.4,4.32,479.6,"Oct 07, 2025",248.4,"Feb 02, 2026",220.35,98.51,24.2,9.45,16.22,36.36%,76.99%,36.36%,188.46,169.26,0.71,25.03,31.11,18.13,5.01,
Dr.Agarwal's Health Care IPO,2025-01-29,2025-02-04,"BSE, NSE",544350,AGARWALEYE,"3,027.26",402,2.48,0.37,0.39,1.39,402,401.65,-0.09,454.65,455.05,13.1,459.25 (14.05%),"568.00 (Oct 16, 2025)","327.00 (May 30, 2025)",459.25,14.05,568,"Oct 16, 2025",327,"May 30, 2025","3,393.41",837.94,39.56,130.44,160.48,9.33%,14.61%,6.21,"1,502.67","1,509.11",373.68,6.9,3.08,2.51,7.96,
Ajax Engineering IPO,2025-02-10,2025-02-17,"BSE, NSE",544356,AJAXENGG,"1,268.93",629,6.46,6.41,1.89,4.84,576,595.4,-5.34,476.9,476.9,-24.18,498.80 (-21.02%),"756.20 (May 14, 2025)","473.25 (Jan 23, 2026)",498.8,-21.02,756.2,"May 14, 2025",473.25,"Jan 23, 2026","1,348.76",794.16,101.02,31.96,35.62,24.53%,32.82%,19.39%,995.84,984.4,,12.65,19.68,17.66,7.84,
Hexaware Technologies IPO,2025-02-12,2025-02-19,"BSE, NSE",544362,HEXT,"8,750.00",708,4.42,0.21,0.1,2.25,745.5,762.55,7.7,560.95,561.6,-20.77,542.95 (-23.17%),"900.00 (Jul 09, 2025)","540.00 (Feb 12, 2026)",542.95,-23.17,900,"Jul 09, 2025",540,"Feb 12, 2026","8,594.20","8,871.30",853.3,,,,,23.60%,"4,876.00","4,816.70",,9.6,,,10.15,
Quality Power Electrical IPO,2025-02-14,2025-02-24,"BSE, NSE",544367,QPOWER,858.7,425,1.01,0.77,1.72,1.05,430,387.9,-8.73,805.65,806.05,89.56,800.60 (88.32%),"1,082.00 (Sep 30, 2025)","267.80 (Apr 07, 2025)",800.6,88.32,1082,"Sep 30, 2025",267.8,"Apr 07, 2025",399.64,182.72,50.08,55.28,32.86,29.15%,19.20%,29.15%,238.63,150.43,25.55,16.74,7.69,12.93,16.11,
Ather Energy IPO,2025-04-28,2025-05-06,"BSE, NSE",544397,ATHER,"2,980.76",321,1.3,0.68,1.76,1.26,328,302.3,-5.83,707.85,708.25,120.51,725.75 (125.89%),"790.00 (Oct 21, 2025)","288.15 (May 07, 2025)",725.75,125.89,790,"Oct 21, 2025",288.15,"May 07, 2025","2,172.00","1,617.40",-577.9,,,,,-194.00%,108,104.1,521.6,,-47,,,
Borana Weaves IPO,2025-05-20,2025-05-27,"BSE, NSE",544404,BORANA,144.89,216,35.27,237.23,192.74,81.31,243,255.15,18.13,372.35,,72.38,377.90 (74.95%),"404.90 (Feb 02, 2026)","211.00 (Sep 04, 2025)",377.9,74.95,404.9,"Feb 02, 2026",211,"Sep 04, 2025",149.67,215.71,29.31,18.26,14.73,49.45%,27.42%,49.77%,76.55,56.87,54.03,11.85,11.83,14.66,9.09,46.03
Belrise Industries IPO,2025-05-21,2025-05-28,"BSE, NSE",544405,BELRISE,"2,150.00",90,0.98,40.78,4.4,8.15,100,97.41,8.23,186.65,186.71,107.39,188.27 (109.28%),"193.74 (Feb 11, 2026)","89.15 (Jun 02, 2025)",188.27,109.28,193.74,"Feb 11, 2026",89.15,"Jun 02, 2025","6,587.69","6,064.76",245.47,16.61,24.47,,14.83%,13.33%,"2,577.55","2,252.24","2,599.80",4.36,5.42,3.68,2.5,
Aegis Vopak Terminals IPO,2025-05-26,2025-06-02,"BSE, NSE",544407,AEGISVOPAK,"2,800.00",235,1.97,0.64,0.78,1.66,220,242,2.98,214.25,214.25,-8.83,213.01 (-9.19%),"302.00 (Jul 18, 2025)","198.00 (Jan 21, 2026)",213.01,-9.19,302,"Jul 18, 2025",198,"Jan 21, 2026","5,855.60",476.15,85.89,268.51,227.36,8.68%,8.39%,7.51%,"2,037.61",,"2,485.75",15.18,0.88,1.03,17.71,
Schloss Bangalore IPO,2025-05-26,2025-06-02,"BSE, NSE",544408,THELEELA,"3,500.00",435,3.74,1.06,0.83,3.05,406,435.55,0.13,445.4,445.25,2.39,447.30 (2.83%),"474.40 (Jul 23, 2025)","382.50 (Jun 19, 2025)",447.3,2.83,474.4,"Jul 23, 2025",382.5,"Jun 19, 2025","8,266.16","1,406.56",47.66,160.63,213.09,,,1.32%,"3,604.99","3,280.43","3,908.75",,2.71,2.04,2.92,
Prostarm Info Systems IPO,2025-05-27,2025-06-03,"BSE, NSE",544410,PROSTARM,168,105,41.8,222.75,38.12,67.65,120,126,20,171.2,171.87,63.05,174.42 (66.19%),"253.49 (Jul 30, 2025)","108.00 (Jun 13, 2025)",174.42,66.19,253.49,"Jul 30, 2025",108,"Jun 13, 2025",230.04,270.27,22.11,19.75,20.97,31.41%,32.41%,32.09%,107.24,64.37,60.37,8.85,5.32,5.01,5.34,35.89
Scoda Tubes IPO,2025-05-28,2025-06-04,"BSE, NSE",544411,SCODATUBES,220,140,30.23,122.2,20.23,40.52,140,147,5,137.45,137.45,-1.82,141.09 (0.75%),"230.85 (Jul 14, 2025)","113.53 (Feb 02, 2026)",141.09,0.75,230.85,"Jul 14, 2025",113.53,"Feb 02, 2026",428.49,363.48,24.91,33.81,25.25,28.77%,15.92%,28.77%,143.55,99.35,202.16,4.58,4.14,5.54,8.76,60.63
Oswal Pumps IPO,2025-06-13,2025-06-20,"BSE, NSE",544418,OSWALPUMPS,"1,387.34",614,35.89,38.19,3.59,24.93,634,625.35,1.85,333.4,333.25,-45.7,350.85 (-42.83%),"888.40 (Aug 21, 2025)","330.80 (Feb 13, 2026)",350.85,-42.83,888.4,"Aug 21, 2025",330.8,"Feb 13, 2026","1,096.01","1,067.34",216.71,62.54,24.22,,81.85%,88.73%,378.8,387.96,346.3,12.83,9.82,25.35,38.14,321.01
Arisinfra Solutions IPO,2025-06-18,2025-06-25,"BSE, NSE",544419,ARISINFRA,499.6,222,1.2,3.07,5.98,1.96,205,174.38,-21.45,101.4,84.18,-54.32,84.18 (-53.96%),"208.50 (Jun 25, 2025)","83.10 (Feb 06, 2026)",84.18,-53.96,208.5,"Jun 25, 2025",83.1,"Feb 06, 2026",586.56,557.76,6.53,-41.89,,,,-13.14%,152.09,141.1,322.82,,-5.3,,8.61,39.88
Ellenbarrie Industrial Gases IPO,2025-06-24,2025-07-01,"BSE, NSE",544421,ELLEN,852.53,400,25.92,15.54,2.14,16.04,486,534.6,33.65,239.75,239.65,-40.06,249.70 (-37.58%),"637.70 (Jul 14, 2025)","245.10 (Feb 02, 2026)",249.7,-37.58,637.7,"Jul 14, 2025",245.1,"Feb 02, 2026",845.97,348.43,83.29,62.88,67.69,16.88%,13.71%,24.97%,333.62,467.17,245.3,23.9,6.36,5.91,20.93,109.74
Globe Civil Projects IPO,2025-06-24,2025-07-01,"BSE, NSE",544424,GLOBECIVIL,119,71,40.66,142.1,52.61,60.06,90,94.46,33.04,53.22,53.4,-25.04,53.39 (-24.77%),"95.00 (Jul 23, 2025)","47.00 (Jan 20, 2026)",53.39,-24.77,95,"Jul 23, 2025",47,"Jan 20, 2026",374.6,256.74,17.79,19.83,17.88,21.95%,23.07%,19.80%,99.83,56.87,137.97,4.59,3.58,3.97,3.92,39.3
Kalpataru IPO,2025-06-24,2025-07-01,"BSE, NSE",544423,KALPATARU,"1,590.00",414,1.93,1.39,1.35,1.78,414,432.95,4.58,348.3,348.4,-15.87,350.50 (-15.25%),"457.40 (Jul 09, 2025)","319.10 (Feb 02, 2026)",350.5,-15.25,457.4,"Jul 09, 2025",319.1,"Feb 02, 2026","15,562.35","1,699.49",5.51,-59.52,"1,160.05",,,-10.15,"1,579.54",,"11,056.40",,-6.96,0.36,5.62,101.67
HDB Financial IPO,2025-06-25,2025-07-02,"BSE, NSE",544429,HDBFS,"12,500.00",740,24.05,10.24,1.43,13.07,835,840.95,13.64,708,709.4,-4.32,715.00 (-3.39%),"891.90 (Jul 03, 2025)","687.30 (Jan 27, 2026)",715,-3.39,891.9,"Jul 03, 2025",687.3,"Jan 27, 2026",########,"16,300.28","2,175.92",27,28.15,14.72%,,,"14,936.50","15,023.97","87,397.77",,27.41,26.29,3.72,"9,512.37"
Sambhv Steel Tubes IPO,2025-06-25,2025-07-02,"BSE, NSE",544430,SAMBHV,540,82,27.26,33.62,8.35,21.49,110,97.59,19.01,100.02,100.12,21.98,98.50 (20.12%),"149.40 (Jul 22, 2025)","81.42 (Jan 27, 2026)",98.5,20.12,149.4,"Jul 22, 2025",81.42,"Jan 27, 2026","1,411.82","1,018.81",40.69,23.97,44.54,25.42%,17.66%,25.42%,478.46,,619.15,6.41,3.42,1.84,4.51,106.37
Indogulf Cropsciences IPO,2025-06-26,2025-07-03,"BSE, NSE",544432,IGCL,200,111,1.95,50.72,15.33,13.5,111,110.35,-0.59,69.41,69.55,-37.47,70.74 (-36.07%),"122.00 (Jul 22, 2025)","64.50 (Jan 27, 2026)",70.74,-36.07,122,"Jul 22, 2025",64.5,"Jan 27, 2026",597.81,466.31,21.68,19.18,24.27,12.20%,11.93%,12.19%,265.43,216.64,206.3,5.11,5.79,4.57,1.13,44.78
Crizac IPO,2025-07-02,2025-07-09,"BSE, NSE",544439,CRIZAC,860,245,57.16,79.49,10.54,44.19,281.05,307.63,25.56,231.55,231.3,-5.49,240.35 (-1.94%),"387.95 (Sep 08, 2025)","217.30 (Jan 22, 2026)",240.35,-1.94,387.95,"Sep 08, 2025",217.3,"Jan 22, 2026",879.62,884.78,152.93,28.03,28.03,30.24%,40.03%,30.24%,505.71,,0.08,17.28,8.74,8.74,8.48,212.82
Travel Food Services IPO,2025-07-07,2025-07-14,"BSE, NSE",544443,TRAVELFOOD,"2,000.00","1,100",3.83,1.62,0.69,2.4,"1,125.00","1,074.80",-2.29,"1,166.65","1,170.70",6.06,"1,214.70 (10.47%)","1,445.00 (Nov 27, 2025)","1,008.50 (Aug 04, 2025)",1214.7,10.47,1445,"Nov 27, 2025",1008.5,"Aug 04, 2025","1,902.73","1,762.71",379.66,38.15,38.15,35.47%,51.40%,34.64%,"1,048.45","1,040.24",,21.54,28.83,28.83,13.82,676.35
Smartworks Coworking Spaces IPO,2025-07-10,2025-07-17,"BSE, NSE",544447,SMARTWORKS,582.56,407,10.59,23.63,3.59,10.03,435,445.05,9.35,459.9,457.15,13,462.35 (13.21%),"619.00 (Nov 04, 2025)","392.70 (Jul 28, 2025)",462.35,13.21,619,"Nov 04, 2025",392.7,"Jul 28, 2025","4,650.85","1,409.67",-63.18,,,,42.30%,-58.76%,107.51,4.69,397.77,-4.6,-6.12,-5.54,38.58,857.26
Anthem Biosciences IPO,2025-07-14,2025-07-21,"BSE, NSE",544449,ANTHEM,"3,395.00",570,77.87,43.67,5.74,47.37,723.05,730.35,28.13,688.8,689.95,20.84,703.40 (23.32%),"873.50 (Sep 18, 2025)","579.15 (Feb 02, 2026)",703.4,23.32,873.5,"Sep 18, 2025",579.15,"Feb 02, 2026","2,807.58","1,930.29",451.26,70.62,70.62,20.82%,26.88%,20.82%,"2,409.86","2,298.05",108.95,23.38,8.07,8.07,13.23,683.78
GNG Electronics IPO,2025-07-23,2025-07-30,"BSE, NSE",544455,EBGNG,460.43,237,110.35,237.44,48.2,107.66,355,333.39,40.67,336.2,335.8,41.86,329.35 (39.14%),"401.70 (Sep 18, 2025)","239.00 (Jan 27, 2026)",329.35,39.14,401.7,"Sep 18, 2025",239,"Jan 27, 2026",719.46,"1,420.37",69.03,33.35,39.14,30.40%,17.31%,30.40%,226.46,176.61,446.92,4.89,7.11,6.05,10.17,126.14
Indiqube Spaces IPO,2025-07-23,2025-07-30,"BSE, NSE",544454,INDIQUBE,700,237,6.68,8.62,13.41,7.63,216,217.97,-8.03,180.05,181.06,-24.03,182.41 (-23.19%),"243.80 (Sep 22, 2025)","163.51 (Feb 02, 2026)",182.41,-23.19,243.8,"Sep 22, 2025",163.51,"Feb 02, 2026","4,685.12","1,102.93",-139.62,,,-2.19%,34.21%,,-3.11,-23.3,343.96,-12.66,-7.65,,,660.19
Brigade Hotel Ventures IPO,2025-07-24,2025-07-31,"BSE, NSE",544457,BRIGHOTEL,759.6,90,2.9,10.1,6.59,4.26,81.1,85.32,-5.2,61.41,61.41,-31.77,62.29 (-31.16%),"91.77 (Aug 19, 2025)","58.02 (Jan 23, 2026)",62.29,-31.16,91.77,"Aug 19, 2025",58.02,"Jan 23, 2026",947.57,470.68,23.66,112.38,144.48,,13.62%,30.11%,78.58,,617.32,5.03,0.8,0.62,32.26,166.87
Shanti Gold International IPO,2025-07-25,2025-08-01,"BSE, NSE",544459,SHANTIGOLD,360.11,199,47.35,151.49,30.42,57.04,227.55,229.38,15.27,217.8,217.84,9.45,217.93 (9.7%),"274.10 (Aug 21, 2025)","184.10 (Dec 18, 2025)",217.93,9.7,274.1,"Aug 21, 2025",184.1,"Dec 18, 2025",419.83,"1,112.47",55.84,19.24,25.69,,25.70%,44.85%,152.37,,233,5.05,10.34,7.75,7.05,97.71
Aditya Infotech IPO,2025-07-29,2025-08-05,"BSE, NSE",544466,CPPLUS,"1,300.00",675,56.7,75.52,52.56,58.82,"1,015.00","1,082.65",60.39,"1,573.25","1,573.30",133.07,"1,546.20 (128.79%)","1,745.10 (Nov 19, 2025)","1,015.00 (Aug 05, 2025)",1546.2,128.79,1745.1,"Nov 19, 2025",1015,"Aug 05, 2025","3,174.54","3,122.93",351.37,21.09,22.52,34.53%,33.27%,34.53%,"1,017.66",994.49,412.84,11.25,32,29.98,7.06,258.39
Laxmi India Finance IPO,2025-07-29,2025-08-05,"BSE, NSE",544465,LAXMIINDIA,254.26,158,1.47,1.82,2.17,1.76,137.52,134.11,-15.12,102.77,102.75,-34.96,108.64 (-31.31%),"180.90 (Sep 18, 2025)","85.87 (Jan 27, 2026)",108.64,-31.31,180.9,"Sep 18, 2025",85.87,"Jan 27, 2026","1,412.52",248.04,36.01,18.35,22.94,,,13.95%,257.47,236.99,"1,137.06",14.48,8.61,6.89,2.57,163.88
M&B Engineering IPO,2025-07-30,2025-08-06,"BSE, NSE",544470,MBEL,650,385,15.98,40.18,33.54,21.3,385,408.65,6.14,337.5,337.7,-12.34,333.15 (-13.52%),"535.90 (Nov 10, 2025)","291.00 (Feb 02, 2026)",333.15,-13.52,535.9,"Nov 10, 2025",291,"Feb 02, 2026",849.21,996.89,77.05,24.98,28.55,25.13%,24.80%,25.14%,306.53,256.53,186.13,7.73,15.41,13.48,6.28,126.38
NSDL IPO,2025-07-30,2025-08-06,BSE,544467,NSDL,"4,010.95",800,42.15,34.75,7.43,28.84,880,936,17,954.4,,19.3,971.70 (21.46%),"1,425.00 (Aug 11, 2025)","880.00 (Aug 06, 2025)",971.7,21.46,1425,"Aug 11, 2025",880,"Aug 06, 2025","2,984.84","1,535.19",343.12,46.63,,17.11%,22.70%,17.11%,"2,005.34",232.31,,22.35,17.16,,7.98,492.94
Sri Lotus Developers IPO,2025-07-30,2025-08-06,"BSE, NSE",544469,LOTUSDEV,792,150,70.76,61.53,21.13,51.87,178,195.67,30.45,144.3,144.16,-3.8,151.57 (1.17%),"218.49 (Aug 11, 2025)","137.60 (Jan 21, 2026)",151.57,1.17,218.49,"Aug 11, 2025",137.6,"Jan 21, 2026","1,218.60",569.28,227.89,28.69,32.17,24.39%,27.22%,24.39%,932.44,888.93,122.13,41.46,5.23,4.66,7.01,288.97
Highway Infrastructure IPO,2025-08-05,2025-08-12,"BSE, NSE",544477,HILINFRA,130,70,170.38,471.09,159.72,256.33,115,120.75,72.5,55.43,55.42,-20.81,56.87 (-18.7%),"131.40 (Aug 14, 2025)","49.49 (Jan 30, 2026)",56.87,-18.7,131.4,"Aug 14, 2025",49.49,"Jan 30, 2026",231.56,504.48,22.4,18.06,22.41,19.03%,16.56%,19.03%,117.72,83.9,71.82,4.44,3.88,3.12,3.44,31.32
All Time Plastics IPO,2025-08-07,2025-08-14,"BSE, NSE",544479,ALLTIME,400.6,275,4.76,13.9,5.23,6.28,311.3,283.3,3.02,257.9,258.96,-6.22,263.71 (-4.6%),"334.90 (Aug 25, 2025)","218.00 (Feb 02, 2026)",263.71,-4.6,334.9,"Aug 25, 2025",218,"Feb 02, 2026",562.32,559.24,47.29,32.17,38.09,19.01%,16.99%,19.01%,249.13,247.73,218.51,8.46,8.55,7.22,7.15,101.34
JSW Cement IPO,2025-08-07,2025-08-14,"BSE, NSE",544480,JSWCEMENT,"3,600.00",147,7.3,11.56,1.84,6.03,153.5,146.07,-0.63,119.5,119.43,-18.71,119.65 (-18.61%),"162.15 (Sep 04, 2025)","106.65 (Dec 04, 2025)",119.65,-18.61,162.15,"Sep 04, 2025",106.65,"Dec 04, 2025","12,003.94","5,914.67",-163.77,-112.61,-122.38,-6.9,7.05%,-4.85%,"2,352.55","1,287.31","6,166.55",-2.77,-1.31,-1.2,6.16,815.32
BlueStone Jewellery IPO,2025-08-11,2025-08-19,"BSE, NSE",544484,BLUESTONE,"1,540.65",517,2.3,0.56,1.32,1.94,510,546,5.61,437.55,436.75,-15.37,450.70 (-12.81%),"793.00 (Oct 09, 2025)","411.85 (Feb 02, 2026)",450.7,-12.81,793,"Oct 09, 2025",411.85,"Feb 02, 2026","3,532.28","1,830.04",-221.84,,,-34.53%,-3.67%,-24.45%,,877.12,728.62,-12.53,,,2.01,73.16
Regaal Resources IPO,2025-08-12,2025-08-20,"BSE, NSE",544485,REGAAL,306,102,41.34,355.25,55.61,93.42,141,131.58,29,59.61,59.71,-41.56,60.23 (-40.79%),"145.70 (Aug 20, 2025)","57.27 (Feb 02, 2026)",60.23,-40.79,145.7,"Aug 20, 2025",57.27,"Feb 02, 2026",860.27,917.58,47.67,17.58,21.98,20.25%,14.17%,20.25%,235.41,202.44,507.05,5.19,5.8,4.64,6.18,112.79
Gem Aromatics IPO,2025-08-19,2025-08-26,"BSE, NSE",544491,GEMAROMA,451.25,325,22.14,45.9,10.29,21.55,333.1,319.05,-1.83,195,195.49,-40,197.67 (-39.05%),"349.60 (Aug 26, 2025)","133.00 (Dec 09, 2025)",197.67,-39.05,349.6,"Aug 26, 2025",133,"Dec 09, 2025",534.52,505.64,53.38,28.52,31.8,18.80%,16.02%,18.80%,283.98,278.26,222.37,10.56,11.39,10.22,5.36,88.45
Patel Retail IPO,2025-08-19,2025-08-26,"BSE, NSE",544487,PATELRMART,242.66,255,109.09,107.9,41.68,78.04,300,287.7,12.82,193,192.85,-24.31,200.18 (-20.82%),"305.00 (Aug 26, 2025)","169.91 (Jan 20, 2026)",200.18,-20.82,305,"Aug 26, 2025",169.91,"Jan 20, 2026",382.86,825.99,25.28,25.1,33.69,19.02%,14.43%,19.02%,134.57,,180.54,3.08,10.16,7.57,4.72,62.43
Shreeji Shipping Global IPO,2025-08-19,2025-08-26,"BSE, NSE",544490,SHREEJISPG,410.71,252,44.82,72.62,21.57,40.85,270,255.1,1.23,401.9,400.5,59.48,400.00 (58.63%),"408.85 (Feb 13, 2026)","222.00 (Oct 09, 2025)",400,58.63,408.85,"Feb 13, 2026",222,"Oct 09, 2025",758.58,610.45,141.24,26.16,29.07,42.91%,28.09%,42.91%,343.17,196.55,256.47,23.24,9.63,8.67,10.76,200.68
Vikram Solar IPO,2025-08-19,2025-08-26,"BSE, NSE",544488,VIKRAMSOLR,"2,079.37",332,58.56,52.8,7.77,39.73,338,356.4,7.35,230.9,230.55,-30.45,234.80 (-29.2%),"407.95 (Sep 10, 2025)","188.25 (Jan 27, 2026)",234.8,-29.2,407.95,"Sep 10, 2025",188.25,"Jan 27, 2026","2,832.15","3,459.53",139.83,75.16,85.88,16.57%,24.49%,11.26%,"1,241.99",932.6,230.67,4.08,4.42,3.87,8.46,492.01
Mangal Electrical IPO,2025-08-20,2025-08-28,"BSE, NSE",544492,MEIL,400,561,5.13,19.7,4.99,7.27,556,535.35,-4.57,266.15,266.4,-52.56,271.10 (-51.61%),"573.70 (Sep 04, 2025)","244.15 (Feb 02, 2026)",271.1,-51.61,573.7,"Sep 04, 2025",244.15,"Feb 02, 2026",366.46,551.39,47.31,24.31,32.77,29.00%,25.38%,34.14%,162.16,,149.12,8.61,23.08,17.12,7.09,81.84
Anlon Healthcare IPO,2025-08-26,2025-09-03,"BSE, NSE",544497,AHCL,121.03,91,1.05,10.5,45.82,6.95,92,91.73,0.8,121.2,121.56,33.19,122.44 (34.89%),"172.75 (Nov 28, 2025)","90.78 (Sep 03, 2025)",122.44,34.89,172.75,"Nov 28, 2025",90.78,"Sep 03, 2025",181.3,120.46,20.52,17.67,23.57,40.45%,21.93%,25.51%,80.42,40.57,58.35,17.06,5.15,3.86,4.51,32.38
Vikran Engineering IPO,2025-08-26,2025-09-03,"BSE, NSE",544496,VIKRAN,772,97,8.67,61.68,11.27,17.53,99,95.71,-1.33,85.92,85.88,-11.42,86.85 (-10.42%),"118.40 (Nov 20, 2025)","84.20 (Dec 18, 2025)",86.85,-10.42,118.4,"Nov 20, 2025",84.2,"Dec 18, 2025","1,354.68",922.36,77.82,22.88,32.15,16.63%,23.34%,16.63%,467.87,449.52,272.94,8.44,4.24,3.02,3.81,160.24
Amanta Healthcare IPO,2025-09-01,2025-09-09,"BSE, NSE",544502,AMANTA,126,126,14.8,209.13,53.59,57.53,135,141.75,12.5,104.65,105.02,-16.94,108.56 (-13.89%),"154.40 (Sep 23, 2025)","97.75 (Dec 09, 2025)",108.56,-13.89,154.4,"Sep 23, 2025",97.75,"Dec 09, 2025",381.76,276.09,10.5,34.59,46.59,12.42%,13.72%,10.89%,96.39,67.56,195,3.86,3.64,2.7,3.77,61.05
Dev Accelerator IPO,2025-09-10,2025-09-17,"BSE, NSE",544513,DEVX,143.35,61,9.05,87.49,160.88,35.82,61,64.05,5,40.12,40.59,-34.23,39.77 (-34.74%),"64.05 (Sep 17, 2025)","34.00 (Jan 21, 2026)",39.77,-34.74,64.05,"Sep 17, 2025",34,"Jan 21, 2026",540.38,178.89,1.74,233.25,315.45,,25.95%,3.24%,54.79,,130.67,1,0.26,0.19,7.94,80.46
Shringar House of Mangalsutra IPO,2025-09-10,2025-09-17,"BSE, NSE",544512,SHRINGARMS,400.95,165,41.17,82.36,26.66,42.24,188.5,184.88,12.05,236.45,236.79,43.3,240.04 (45.61%),"250.70 (Jan 16, 2026)","177.51 (Sep 30, 2025)",240.04,45.61,250.7,"Jan 16, 2026",177.51,"Sep 30, 2025",375.75,"1,430.12",61.11,19.47,26.04,,32.43%,36.20%,200.85,123.72,123.11,4.27,8.47,6.34,5.93,92.61
Urban Company IPO,2025-09-10,2025-09-17,"BSE, NSE",544515,URBANCO,"1,900.24",103,59.44,77.52,40.1,60.14,162.25,166.83,61.97,121.1,121.25,17.57,121.08 (17.62%),"201.18 (Sep 22, 2025)","116.58 (Jan 27, 2026)",121.08,17.62,201.18,"Sep 22, 2025",116.58,"Jan 27, 2026","2,200.64","1,260.68",239.77,59.71,61.68,,,13.35%,"1,781.28","2,646.12",,,1.72,1.67,8.27,
Euro Pratik Sales IPO,2025-09-16,2025-09-23,"BSE, NSE",544519,EUROPRATIK,451.31,247,1.13,1.95,1.23,1.29,272.1,248.38,0.56,234.25,233.57,-5.16,231.99 (-5.55%),"390.00 (Nov 17, 2025)","205.10 (Jan 30, 2026)",231.99,-5.55,390,"Nov 17, 2025",205.1,"Jan 30, 2026",273.84,291.52,76.44,33.02,33.02,39.18%,44.58%,32.60%,234.49,223.88,2.68,26.08,7.48,7.48,10.77,110.1
VMS TMT IPO,2025-09-17,2025-09-24,"BSE, NSE",544521,VMSTMT,148.5,99,48.35,226.19,46.34,82.91,94.66,94.66,-4.38,51.11,51.48,-48.37,51.45 (-48.2%),"105.00 (Sep 24, 2025)","44.65 (Jan 21, 2026)",51.45,-48.2,105,"Sep 24, 2025",44.65,"Jan 21, 2026",449.35,213.39,8.58,22.24,14.32,,12.79%,20.14%,81.77,47.14,309.18,1.91,4.45,6.91,7.43,19.48
Ivalue Infosolutions IPO,2025-09-18,2025-09-25,"BSE, NSE",544523,IVALUE,560.29,299,1.98,1.18,1.22,1.59,284.95,281.85,-5.74,241.4,240.38,-19.26,247.10 (-17.51%),"340.00 (Nov 20, 2025)","213.98 (Feb 05, 2026)",247.1,-17.51,340,"Nov 20, 2025",213.98,"Feb 05, 2026","1,162.67",942.35,85.3,18.77,18.77,21.13%,28.98%,22.02%,414.79,452.36,42.45,8.87,15.93,15.93,4.96,129.13
GK Energy IPO,2025-09-19,2025-09-26,"BSE, NSE",544525,GKENERGY,464.26,153,77.69,128.29,21.34,65.56,171,167.74,9.63,111,111.06,-27.45,116.82 (-24.05%),"239.60 (Oct 23, 2025)","96.01 (Feb 02, 2026)",116.82,-24.05,239.6,"Oct 23, 2025",96.01,"Feb 02, 2026",583.62,"1,099.18",133.21,20.29,23.3,63.71%,55.65%,63.71%,209.09,175.07,217.79,12.12,7.54,6.57,12.39,199.69
Saatvik Green Energy IPO,2025-09-19,2025-09-26,"BSE, NSE",544526,SAATVIK,900.2,465,5.14,10.53,2.72,5.09,465,440.7,-5.23,417.9,419.3,-10.13,413.45 (-11.05%),"567.00 (Oct 10, 2025)","345.00 (Jan 23, 2026)",413.45,-11.05,567,"Oct 10, 2025",345,"Jan 23, 2026","1,635.74","2,192.47",213.93,24.35,27.63,63.41%,60.45%,63.41%,337.66,315.25,458.1,9.76,19.09,16.83,43.18,353.93
Atlanta Electricals IPO,2025-09-22,2025-09-29,"BSE, NSE",544527,ATLANTAELE,687.85,754,77.97,55.6,10.54,50.62,857,823.35,9.2,871.05,871.95,15.52,897.15 (18.99%),"1,097.85 (Nov 07, 2025)","707.60 (Jan 27, 2026)",897.15,18.99,1097.85,"Nov 07, 2025",707.6,"Jan 27, 2026",866.19,"1,250.49",118.65,46.33,,33.91%,39.43%,33.91%,349.9,,141.03,9.54,16.57,,23.62,199.88
Ganesh Consumer Products IPO,2025-09-22,2025-09-29,"BSE, NSE",544528,GANESHCP,408.8,322,2.39,4.31,1.13,2.23,296.05,294.3,-8.6,189.6,189.93,-41.12,191.55 (-40.33%),"309.95 (Oct 06, 2025)","188.30 (Jan 27, 2026)",191.55,-40.33,309.95,"Oct 06, 2025",188.3,"Jan 27, 2026",341.74,855.16,35.43,33.06,36.72,15.81%,19.81%,15.81%,224.13,190.47,50,4.17,9.74,8.77,5.23,73.24
