Company,Opening_Date,Listing_Date,Listing_At,BSE_Scrip_Code,NSE_Symbol,Issue_Amount_(Rs.cr.),Issue_Price_(Rs.),QIB_(x),NII_(x),Retail_(x),Total_(x),Open_Price_on_Listing_(Rs.),Close_Price_on_Listing_(Rs.),%_Gain_/_Loss_(Issue_price_v/s_Close_price_on_Listing),Current_Price_<br>at_BSE_(Rs.),Current_Price_<br>at_NSE_(Rs.),Gain_/_Loss_(%),Market_Price_(Rs.),52_Week_High,52_Week_Low,Market_Price_(Value),Market_Price_(%),52_Week_High_(Value),52_Week_High_(Date),52_Week_Low_(Value),52_Week_Low_(Date),Assets_(Rs.cr.),Revenue_(Rs.cr.),Profit_After_Tax_(Rs.cr.),P/E_(x)_Pre-IPO,P/E_(x)_Post-IPO,ROE,ROCE,RoNW,Net_Worth_(Rs.cr.),Reserves_and_Surplus_(Rs.cr.),Total_Borrowing_(Rs.cr.),PAT_Margin_%,EPS_(Rs.)_Pre-IPO,EPS_(Rs.)_Post-IPO,Price_to_Book_Value,Ebitda_(Rs.cr.)
Gopal Snacks IPO,2024-03-06,2024-03-14,"BSE, NSE",544140,GOPALSNACK,650,401,7.99,9.95,4.08,6.88,351,362.7,-9.55,299.2,299.45,-25.39,299.45 (-25.39%),"398.00 (Sep 10, 2025)","255.90 (Mar 17, 2025)",299.45,-25.39,398,"Sep 10, 2025",255.9,"Mar 17, 2025",434.54,677.97,55.57,44.47,44.96,16.05%,20.83%,16.05%,346.1,333.17,26.05,8.22,9.02,8.92,14.43,
Popular Vehicles IPO,2024-03-12,2024-03-19,"BSE, NSE",544144,PVSL,601.55,295,1.52,0.66,1.03,1.22,289.2,276.15,-6.39,105.9,105.98,-64.1,105.98 (-64.1%),"163.00 (Oct 16, 2025)","86.75 (Apr 21, 2025)",105.98,-64.1,163,"Oct 16, 2025",86.75,"Apr 21, 2025","1,941.78","2,848.21",40.04,28.88,26.22,10.42%,8.83%,10.42%,384.21,371.67,764.61,1.41,10.22,11.25,4.82,
Krystal Integrated IPO,2024-03-14,2024-03-21,"BSE, NSE",544149,KRYSTAL,300.12,715,3.54,45.38,3.32,9.74,785,712.85,-0.3,627.1,626.25,-12.29,626.25 (-12.29%),"729.50 (Sep 03, 2025)","415.60 (Feb 18, 2025)",626.25,-12.29,729.5,"Sep 03, 2025",415.6,"Feb 18, 2025",449.83,455.67,20.56,21.45,24.3,11.71%,16.97%,11.21%,183.68,170.09,103.36,4.56,33.33,29.42,4.49,
SRM Contractors IPO,2024-03-26,2024-04-03,"BSE, NSE",544158,SRM,130.2,210,23.91,214.68,45.86,60.21,215.25,226,7.62,391.65,392,86.5,392.00 (86.5%),"649.95 (Nov 17, 2025)","287.05 (Mar 04, 2025)",392,86.5,649.95,"Nov 17, 2025",287.05,"Mar 04, 2025",168.87,242.28,21.07,18.76,17.15,,29.43%,25.02%,37.24,67.48,42.32,8.98,11.2,12.24,4.17,
Bharti Hexacom IPO,2024-04-03,2024-04-12,"BSE, NSE",544162,BHARTIHEXA,"4,275.00",570,20.07,10.28,2.74,16.87,755,813.3,42.68,"1,672.30","1,668.70",193.39,"1,668.70 (193.39%)","2,052.90 (Jul 01, 2025)","1,234.00 (Feb 27, 2025)",1668.7,193.39,2052.9,"Jul 01, 2025",1234,"Feb 27, 2025","19,603.00","5,420.80",281.8,51.89,75.85,,,7.08%,"3,978.80","4,166.10","6,253.00",,10.98,7.51,6.45,
JNK India IPO,2024-04-23,2024-04-30,"BSE, NSE",544167,JNKINDIA,649.47,415,31.58,19.92,4.17,20.24,621,694.55,67.36,241.55,241.38,-41.8,241.38 (-41.8%),"480.00 (Feb 12, 2025)","200.92 (Jan 28, 2026)",241.38,-41.8,480,"Feb 12, 2025",200.92,"Jan 28, 2026",453.39,256.76,46.21,43.32,37.46,31.79%,34.73%,31.79%,168.56,158.88,56.73,18.24,9.58,11.08,11.92,
Indegene IPO,2024-05-06,2024-05-13,"BSE, NSE",544172,INDGN,"1,841.76",452,77.5,56.44,8.25,49.75,655,570.9,26.31,474.75,474.7,5.03,474.70 (5.03%),"632.90 (Jun 03, 2025)","455.60 (Jan 27, 2026)",474.7,5.03,632.9,"Jun 03, 2025",455.6,"Jan 27, 2026","2,518.15","1,969.75",241.9,37.78,33.53,,,18.23%,"1,327.00","1,282.65",399.33,12.62,11.96,13.48,7.55,
Aadhar Housing Finance IPO,2024-05-08,2024-05-15,"BSE, NSE",544176,AADHARHFC,"3,000.00",315,31.13,17.31,2.52,19,315,329.45,4.59,466.25,466.65,48.02,466.65 (48.02%),"547.80 (Sep 24, 2025)","361.60 (Feb 25, 2025)",466.65,48.02,547.8,"Sep 24, 2025",361.6,"Feb 25, 2025","18,035.57","1,895.17",547.88,22.8,18.39,18.40%,,12.90%,"4,249.10",,"13,127.59",,13.81,17.13,2.93,
TBO Tek IPO,2024-05-08,2024-05-15,"BSE, NSE",544174,TBOTEK,"1,550.81",920,50.73,50.59,25.94,48.14,"1,426.00","1,406.30",52.86,"1,516.10","1,520.50",64.79,"1,520.50 (64.79%)","1,764.80 (Nov 21, 2025)","996.00 (Apr 07, 2025)",1520.5,64.79,1764.8,"Nov 21, 2025",996,"Apr 07, 2025","3,754.05","1,039.56",154.18,64.58,48.6,,,30.76,501.21,478.43,2.93,,14.25,18.93,18.66,
Go Digit General Insurance IPO,2024-05-15,2024-05-23,"BSE, NSE",544179,GODIGIT,"2,614.65",272,5.61,7.23,4.08,5.7,286,306,12.5,322.4,322.6,18.53,322.60 (18.53%),"381.40 (Sep 24, 2025)","264.60 (Apr 07, 2025)",322.6,18.53,381.4,"Sep 24, 2025",264.6,"Apr 07, 2025","3,619.95",130.83,129.02,670.31,145.03,,,5.25%,"2,459.34","2,391.97",200,,0.41,1.88,9.67,
